Date,Fe,Al,Pb,Fe%,Al%,Pb%,PM,Site,Data/sample_measurement
10/9/2020,,,,,,,5.8,BM,
10/6/2020,,,,,,,7.8,BM,
10/3/2020,,,,,,,6.2,BM,
9/30/2020,,,,,,,3.7,BM,
9/27/2020,,,,,,,3.9,BM,
9/24/2020,,,,,,,12,BM,
9/21/2020,,,,,,,4.7,BM,
9/18/2020,,,,,,,8.2,BM,
9/15/2020,,,,,,,3.6,BM,
9/12/2020,,,,,,,4.8,BM,
9/9/2020,,,,,,,5.6,BM,
9/6/2020,,,,,,,6.5,BM,
9/3/2020,,,,,,,7.5,BM,
